Surah_ID,Surah_Name,Verse_Count,Window_Size,True_H1,Mean_Random_H1,Std_Random_H1,Z_Score
2,Al-Baqarah,286,5,0.16992199420928955,0.1642472356557846,0.010902570371153985,0.5204973102965895
2,Al-Baqarah,286,10,0.13312196731567383,0.12466475427150726,0.007210738775352999,1.1728636007553255
2,Al-Baqarah,286,15,0.11571133136749268,0.10470550835132598,0.006458940160581082,1.7039673293979776
2,Al-Baqarah,286,20,0.11677724123001099,0.09321340143680573,0.006723329436702693,3.5047873252454536
2,Al-Baqarah,286,25,0.14188998937606812,0.0846040689945221,0.006398246967296701,8.953377491420854
2,Al-Baqarah,286,30,0.1373351812362671,0.07661742210388184,0.005307644514941416,11.439680815371155
2,Al-Baqarah,286,35,0.10402834415435791,0.07215424299240113,0.006646549430052314,4.795586265835671
2,Al-Baqarah,286,40,0.11802828311920166,0.0669273680448532,0.004979628092270804,10.261994295048947
2,Al-Baqarah,286,45,0.12093466520309448,0.06342882335186005,0.006200374126653448,9.274576126630004
2,Al-Baqarah,286,50,0.12011396884918213,0.06027103900909424,0.005569942860453516,10.74390372385532
26,Ash-Shu'ara,227,5,0.1700432300567627,0.16407146394252778,0.009757772593444238,0.6120009517589137
26,Ash-Shu'ara,227,10,0.12994670867919922,0.11933285057544708,0.007448949637035841,1.4248798315108098
26,Ash-Shu'ara,227,15,0.10666686296463013,0.09914889514446258,0.00700720969842396,1.0728903720204725
26,Ash-Shu'ara,227,20,0.17886865139007568,0.0885649287700653,0.007910248798439452,11.416040749290422
26,Ash-Shu'ara,227,25,0.20876431465148926,0.07680665969848632,0.005829669573984034,22.635529042998954
26,Ash-Shu'ara,227,30,0.18772125244140625,0.07183054208755493,0.006952797961677172,16.66821199071573
26,Ash-Shu'ara,227,35,0.1632469892501831,0.06570895552635193,0.006625220723681875,14.722231574139277
26,Ash-Shu'ara,227,40,0.1567833423614502,0.06106118500232696,0.005931489501671468,16.137962872925787
26,Ash-Shu'ara,227,45,0.14864975214004517,0.05847345530986786,0.005582003607916459,16.1548259664842
26,Ash-Shu'ara,227,50,0.1382206678390503,0.05436109185218811,0.006644234536372872,12.621405148747447
7,Al-A'raf,206,5,0.1996721625328064,0.16740756392478942,0.012181476925351835,2.648660651391833
7,Al-A'raf,206,10,0.14948660135269165,0.13184215664863586,0.009597950193222857,1.8383555185058778
7,Al-A'raf,206,15,0.14334774017333984,0.11117856800556183,0.008000317405743449,4.020986985426813
7,Al-A'raf,206,20,0.1090778112411499,0.09798795521259308,0.007869459889778323,1.4092270859606875
7,Al-A'raf,206,25,0.11155843734741211,0.0892278116941452,0.007826170297918262,2.8533273367699126
7,Al-A'raf,206,30,0.13836973905563354,0.08206548273563385,0.005738987548825948,9.810834374700486
7,Al-A'raf,206,35,0.13322710990905762,0.07578427791595459,0.007424454281636678,7.736976997108007
7,Al-A'raf,206,40,0.13831084966659546,0.07072994232177734,0.006430363362886372,10.509656069339655
7,Al-A'raf,206,45,0.12255710363388062,0.06800549626350402,0.0072278841895416735,7.547382600472429
7,Al-A'raf,206,50,0.10449039936065674,0.06444578886032104,0.006298635370109661,6.3576645014836775
3,Ali 'Imran,200,5,0.17250382900238037,0.1592903834581375,0.008771582382301692,1.5063924578652377
